ID,FIRSTNAME,LASTNAME,SUFFIX,POS,AGE,AvgMin,GP,AvgPoints,TEAM
156,Jeremy,Lin,,G,31,3.36,8,1.13,Raptors
157,Brad,Wanamaker,,G,30,4.32,4,2.50,Celtics
158,Shabazz,Napier,,G,28,9.46,3,8.00,Nets
159,Zaza,Pachulia,,C,35,10.85,2,2.50,Pistons
160,Danuel,House,Jr.,F-G,26,20.11,7,4.86,Rockets
161,Wilson,Chandler,,F,32,13.10,4,3.75,Clippers
162,Thabo,Sefolosha,,F,35,10.51,4,1.25,Jazz
163,Raymond,Felton,,G,35,11.38,5,2.20,Thunder
164,Melvin,Frazier,Jr.,G-F,23,4.85,3,1.67,Magic
165,Anfernee,Simons,,G,20,2.40,5,0.80,Trail blazers
166,Raul,Neto,,G,27,6.53,3,0.67,Jazz
167,Semi,Ojeleye,,F,25,5.76,6,2.17,Celtics
168,Iman,Shumpert,,G,29,13.68,8,3.63,Rockets
169,Garrett,Temple,,G-F,33,10.46,6,2.33,Clippers
170,Tyrone,Wallace,,G,25,5.52,2,2.00,Clippers
171,Tony,Snell,,G,28,3.17,9,0.56,Bucks
172,Amir,Johnson,,C-F,32,4.90,4,2.00,76ers
173,Davis,Bertans,,F,27,15.74,5,3.20,Spurs
174,Grayson,Allen,,G,24,7.06,2,4.50,Jazz
175,Guerschon,Yabusele,,F,23,3.50,4,2.00,Celtics
176,Treveon,Graham,,F,26,15.74,5,1.40,Nets
177,Jacob,Evans,,G,22,2.50,7,0.71,Warriors
178,Doug,McDermott,,F,27,9.74,3,2.00,Pacers
179,Aaron,Holiday,,G,23,4.51,3,1.67,Pacers
180,Sindarius,Thornwell,,G,25,2.93,4,1.25,Clippers
181,Deonte,Burton,,G,25,1.49,3,0.67,Thunder
182,Jerian,Grant,,G,27,4.66,3,1.67,Magic
183,Jonah,Bolden,,F,23,7.92,10,1.60,76ers
184,Robert,Williams,III,C-F,22,4.22,3,1.33,Celtics
185,Jared,Dudley,,F,34,20.54,4,3.00,Nets
186,Dzanan,Musa,,G-F,20,7.30,2,2.00,Nets
187,Jon,Leuer,,F,30,4.90,1,2.00,Pistons
188,Isaiah,Hartenstein,,F-C,21,1.15,2,2.00,Rockets
189,TJ,Leaf,,F,22,9.79,1,2.00,Pacers
190,Abdel,Nader,,F,26,1.58,3,0.67,Thunder
191,Jarell,Martin,,F,25,6.05,3,3.34,Magic
192,Skal,Labissiere,,F,23,3.50,3,0.67,Trail blazers
193,Jake,Layman,,F,25,3.36,6,0.83,Trail blazers
194,Patrick,McCaw,,G,24,4.42,11,0.45,Raptors
195,Eric,Moreland,,F-C,27,3.50,8,0.25,Raptors
196,Malcolm,Miller,,F,26,2.78,10,0.80,Raptors
197,Chris,Boucher,,F,26,2.06,2,2.50,Raptors
198,Kyle,Korver,,G-F,38,7.44,4,2.50,Jazz
199,Theo,Pinson,,G-F,24,7.30,3,3.00,Nets
200,Juancho,Hernangomez,,F,24,2.88,5,0.60,Nuggets
201,Trey,Lyles,,F,24,2.69,3,0.00,Nuggets
202,Damian,Jones,,C,24,2.02,4,0.75,Warriors
203,Dante,Cunningham,,F,32,2.59,5,1.20,Spurs
204,Quincy,Pondexter,,F,31,2.40,5,0.00,Spurs
205,Ekpe,Udoh,,C-F,32,3.07,2,0.00,Jazz
206,Marcus,Smart,,G,25,16.27,2,3.50,Celtics
207,Jarred,Vanderbilt,,F,20,1.63,3,0.00,Nuggets
208,Jose,Calderon,,G,38,3.22,3,0.00,Pistons
209,Gary,Clark,,F,25,1.87,2,0.00,Rockets
210,Kyle,O'Quinn,,C,29,1.58,1,0.00,Pacers
211,Edmond,Sumner,,G,23,1.58,1,0.00,Pacers
212,Zhaire,Smith,,G,20,2.74,2,0.00,76ers
